1240,Pantera Negra,Ryan Coogler,Chadwick Boseman-Letitia Wright-Michael B jordan,Acao,sim
1451,Patrulha Canina,Fabio M,Luigi S-Mario L-Sonic B,aventura,sim
408,X Men,Vino,Jason Momoa-Pedro Pascal-Ryan G,Aventura,sim
1165,Gato de Botas,Henry Lindo,Henry Gato-Henry gostoso-Henry maravilhoso,Fantasia,sim
1165,Gato de Botas,Henry Lindo,Henry Gato-Henry gostoso-Henry maravilhoso,Fantasia,sim
1703,Batman Vs Homem Aranha,Flavio S,Erick B-Helena R-Henry Cavill,aventura,sim
408,X Men,Vino,Jason Momoa-Pedro Pascal-Ryan G,Aventura,sim
1158,Clube da Luta,David F,Brad Pitt-Edward Norton-Helena Brotom,Suspense,sim
1811,Vigadores Ultimato,Irmaos Russo,Chris H-Chris R-Robert Down Junior,aventura,sim
1811,Vigadores Ultimato,Irmaos Russo,Chris H-Chris R-Robert Down Junior,aventura,sim
1240,Pantera Negra,Ryan Coogler,Chadwick Boseman-Letitia Wright-Michael B jordan,Acao,sim
1451,Patrulha Canina,Fabio M,Luigi S-Mario L-Sonic B,aventura,sim
1158,Clube da Luta,David F,Brad Pitt-Edward Norton-Helena Brotom,Suspense,sim
1165,Gato de Botas,Henry Lindo,Henry Gato-Henry gostoso-Henry maravilhoso,Fantasia,sim
1451,Patrulha Canina,Fabio M,Luigi S-Mario L-Sonic B,aventura,sim
408,X Men,Vino,Jason Momoa-Pedro Pascal-Ryan G,Aventura,sim
1158,Clube da Luta,David F,Brad Pitt-Edward Norton-Helena Brotom,Suspense,sim
1240,Pantera Negra,Ryan Coogler,Chadwick Boseman-Letitia Wright-Michael B jordan,Acao,sim
1703,Batman Vs Homem Aranha,Flavio S,Erick B-Helena R-Henry Cavill,aventura,sim
1811,Vigadores Ultimato,Irmaos Russo,Chris H-Chris R-Robert Down Junior,aventura,sim
